crop_name,image_path,class_id,class_name
0051ac2b-2827-4e90-8fd3-c3ba110732cd_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0051ac2b-2827-4e90-8fd3-c3ba110732cd_0.jpg,9,walk2
0051ac2b-2827-4e90-8fd3-c3ba110732cd_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0051ac2b-2827-4e90-8fd3-c3ba110732cd_1.jpg,7,swingO1
0051ac2b-2827-4e90-8fd3-c3ba110732cd_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0051ac2b-2827-4e90-8fd3-c3ba110732cd_2.jpg,0,fly
00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_0.jpg,4,stabO1
00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_1.jpg,4,stabO1
00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/00cce08f-d4c9-4f0a-8b18-ff644dd4a6b2_2.jpg,8,walk1
01257089-a643-46b1-ba67-890e2e2428cf_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01257089-a643-46b1-ba67-890e2e2428cf_0.jpg,3,shoot1
01257089-a643-46b1-ba67-890e2e2428cf_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01257089-a643-46b1-ba67-890e2e2428cf_1.jpg,5,stand1
01257089-a643-46b1-ba67-890e2e2428cf_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01257089-a643-46b1-ba67-890e2e2428cf_2.jpg,2,prone
012dbc16-1088-4123-a642-138261f71e1a_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/012dbc16-1088-4123-a642-138261f71e1a_0.jpg,9,walk2
012dbc16-1088-4123-a642-138261f71e1a_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/012dbc16-1088-4123-a642-138261f71e1a_1.jpg,9,walk2
012dbc16-1088-4123-a642-138261f71e1a_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/012dbc16-1088-4123-a642-138261f71e1a_2.jpg,1,jump
0161ab20-1d08-4094-a5d7-e2418824a6a2_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0161ab20-1d08-4094-a5d7-e2418824a6a2_0.jpg,3,shoot1
0161ab20-1d08-4094-a5d7-e2418824a6a2_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0161ab20-1d08-4094-a5d7-e2418824a6a2_1.jpg,2,prone
0161ab20-1d08-4094-a5d7-e2418824a6a2_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0161ab20-1d08-4094-a5d7-e2418824a6a2_2.jpg,9,walk2
01edbfca-396a-4159-b236-5df9640de543_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01edbfca-396a-4159-b236-5df9640de543_0.jpg,9,walk2
01edbfca-396a-4159-b236-5df9640de543_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01edbfca-396a-4159-b236-5df9640de543_1.jpg,8,walk1
01edbfca-396a-4159-b236-5df9640de543_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/01edbfca-396a-4159-b236-5df9640de543_2.jpg,1,jump
028c1d3d-9f83-4e9b-b172-bdcaf22da852_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/028c1d3d-9f83-4e9b-b172-bdcaf22da852_0.jpg,3,shoot1
028c1d3d-9f83-4e9b-b172-bdcaf22da852_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/028c1d3d-9f83-4e9b-b172-bdcaf22da852_1.jpg,6,stand2
028c1d3d-9f83-4e9b-b172-bdcaf22da852_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/028c1d3d-9f83-4e9b-b172-bdcaf22da852_2.jpg,8,walk1
029284e3-5bf9-4c59-b528-3a9a9b251eb3_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/029284e3-5bf9-4c59-b528-3a9a9b251eb3_0.jpg,8,walk1
029284e3-5bf9-4c59-b528-3a9a9b251eb3_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/029284e3-5bf9-4c59-b528-3a9a9b251eb3_1.jpg,1,jump
029284e3-5bf9-4c59-b528-3a9a9b251eb3_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/029284e3-5bf9-4c59-b528-3a9a9b251eb3_2.jpg,6,stand2
02e9159e-29d5-4fef-a0ce-fbed7e000f20_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02e9159e-29d5-4fef-a0ce-fbed7e000f20_0.jpg,1,jump
02e9159e-29d5-4fef-a0ce-fbed7e000f20_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02e9159e-29d5-4fef-a0ce-fbed7e000f20_1.jpg,1,jump
02e9159e-29d5-4fef-a0ce-fbed7e000f20_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02e9159e-29d5-4fef-a0ce-fbed7e000f20_2.jpg,5,stand1
02fb0279-0174-4a81-a510-f7d4f5eb0261_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02fb0279-0174-4a81-a510-f7d4f5eb0261_0.jpg,2,prone
02fb0279-0174-4a81-a510-f7d4f5eb0261_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02fb0279-0174-4a81-a510-f7d4f5eb0261_1.jpg,1,jump
02fb0279-0174-4a81-a510-f7d4f5eb0261_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/02fb0279-0174-4a81-a510-f7d4f5eb0261_2.jpg,1,jump
044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_0.jpg,2,prone
044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_1.jpg,9,walk2
044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/044abd0f-be7d-48e4-aa1a-9f0aabc6a1a0_2.jpg,8,walk1
0497a0dd-3648-4542-ba34-ee3962e5610d_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0497a0dd-3648-4542-ba34-ee3962e5610d_0.jpg,4,stabO1
0497a0dd-3648-4542-ba34-ee3962e5610d_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0497a0dd-3648-4542-ba34-ee3962e5610d_1.jpg,7,swingO1
0497a0dd-3648-4542-ba34-ee3962e5610d_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/0497a0dd-3648-4542-ba34-ee3962e5610d_2.jpg,1,jump
04d7c106-4c20-4db0-b3df-74ec74ff07d8_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/04d7c106-4c20-4db0-b3df-74ec74ff07d8_0.jpg,7,swingO1
04d7c106-4c20-4db0-b3df-74ec74ff07d8_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/04d7c106-4c20-4db0-b3df-74ec74ff07d8_1.jpg,6,stand2
04d7c106-4c20-4db0-b3df-74ec74ff07d8_2.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/04d7c106-4c20-4db0-b3df-74ec74ff07d8_2.jpg,8,walk1
04db66ab-f810-478c-b70f-c213c69c32e6_0.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/04db66ab-f810-478c-b70f-c213c69c32e6_0.jpg,5,stand1
04db66ab-f810-478c-b70f-c213c69c32e6_1.jpg,/home/ssy/maple-vision-search/data/processed/temp_crop/04db66ab-f810-478c-b70f-c213c69c32e6_1.jpg,5,stand1
